"household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s9q01","hh_s9q02_a","hh_s9q02_b","hh_s9q03","hh_s9q04","hh_s9q05","hh_s9q06","hh_s9q07","hh_s9q08","hh_s9q09","hh_s9q10","hh_s9q11","hh_s9q12","hh_s9q13","hh_s9q14","hh_s9q15","hh_s9q16","hh_s9q17","hh_s9q18","hh_s9q19","hh_s9q20","hh_s9q21"
"01020601301162","01020601301",1,3223.05908203125,1,2,6,8,88,13,1,162,1,7,,3,2,5,1,1,1,2,8,7,4,4,4,2,2,1,2,2,3,2
"01020601301180","01020601301",1,175.166259765625,1,2,6,8,88,13,1,180,1,3,6,3,1,5,1,1,1,2,8,7,4,7,7,2,2,2,,2,2,1
"01020700101027","01020700101",0,1273.43322753906,1,2,7,1,1,1,1,27,1,1,6,3,1,5,1,1,1,2,8,7,4,5,5,2,2,1,1,2,2,1
"01020700101057","01020700101",0,1273.43322753906,1,2,7,1,1,1,1,57,2,0,2,3,1,6,1,5,2,2,2,2,2,3,3,2,2,1,1,2,2,2
"01020700101087","01020700101",0,1273.43322753906,1,2,7,1,1,1,1,87,1,6,5,3,1,4,1,1,1,2,8,7,4,8,8,2,2,1,1,2,2,2
"01020700101117","01020700101",0,1273.43322753906,1,2,7,1,1,1,1,117,1,3,0,3,1,6,1,5,1,2,8,7,4,5,5,2,2,1,1,2,3,2
"01020700101147","01020700101",0,1273.43322753906,1,2,7,1,1,1,1,147,1,1,0,3,1,6,1,5,1,2,8,7,4,5,5,2,2,1,1,2,2,2
"01020700101177","01020700101",0,1273.43322753906,1,2,7,1,1,1,1,177,1,5,0,3,1,6,1,5,1,2,8,7,4,5,5,2,2,1,2,2,1,2
"01020700101207","01020700101",0,1273.43322753906,1,2,7,1,1,1,1,207,1,3,6,3,1,4,1,1,1,1,6,7,4,3,3,2,2,1,1,1,2,2
"01020700101237","01020700101",0,1273.43322753906,1,2,7,1,1,1,1,237,2,0,8,3,4,6,1,5,1,2,1,3,4,5,5,2,2,1,2,1,2,2
